Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
John McGinn, SCO,"MF,FW",29-337,4,4,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,9.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,0.17,Matches,AstonVilla
Amadou Onana, BEL,MF,23-034,4,4,270.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,0.1,1.2,6.0,6.0,0.0,0.67,0.0,0.67,0.67,0.67,0.37,0.03,0.4,0.37,0.4,Matches,AstonVilla
Ollie Watkins, ENG,FW,28-264,4,4,268.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.8,2.8,0.5,3.3,2.0,1.0,11.0,0.67,0.34,1.01,0.67,1.01,0.93,0.18,1.11,0.93,1.11,Matches,AstonVilla
Leon Bailey, JAM,"MF,FW",27-041,3,3,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.4,7.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.18,0.12,0.18,Matches,AstonVilla
Lamare Bogarde, NED,DF,20-258,2,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,AstonVilla
Matty Cash, POL,DF,27-043,2,2,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,AstonVilla
Jacob Ramsey, ENG,"FW,MF",23-114,4,1,186.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,10.0,9.0,13.0,0.0,0.48,0.48,0.0,0.48,0.2,0.29,0.49,0.2,0.49,Matches,AstonVilla
Jhon Durán, COL,FW,20-281,4,0,107.0,1.2,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,2.52,0.0,2.52,2.52,2.52,0.87,0.0,0.87,0.87,0.87,Matches,AstonVilla
Kosta Nedeljković, SRB,DF,18-278,3,0,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,AstonVilla
Ross Barkley, ENG,MF,30-289,3,0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.06,0.1,0.16,0.06,0.16,Matches,AstonVilla
